CustomerID,Gender,Age,Items Purchased,Category,Purchase Amount,Shipping Type,Profession,Subscription Status,Season,Country
1,Male,18,Blouse,Clothing,50,Express,Healthcare,Yes,Spring,United States
2,Male,20,Sweater,Clothing,25,Free Shipping,Engineer,No,Summer,United States
3,Female,35,Jeans,Clothing,15,Next Day Air,Engineer,Yes,Fall,United States
4,Female,45,Sandals,Footwear,69,2-Day Shipping,Lawyer,No,Winter,United States
5,Female,60,Blouse,Clothing,85,2-Day Shipping,Entertainment,Yes,Winter,United States
6,Female,22,Sneakers,Footwear,12,2-Day Shipping,Artist,No,Winter,United States
7,Female,24,Shirt,Clothing,100,2-Day Shipping,Healthcare,Yes,Winter,United States
8,Female,68,Shorts,Clothing,23,2-Day Shipping,Healthcare,No,Winter,France
9,Male,53,Coat,Outerwear,14,2-Day Shipping,Engineer,Yes,Winter,France
10,Female,74,Handbag,Accessories,25,2-Day Shipping,Artist,No,Winter,United States
11,Male,55,Sunglasses,Accessories,41,2-Day Shipping,Engineer,Yes,Winter,France
12,Female,51,Scarf,Accessories,22,2-Day Shipping,Healthcare,No,Winter,France
13,Female,42,Blouse,Clothing,63,2-Day Shipping,Executive,Yes,Winter,France
13,Female,42,Blouse,Clothing,63,2-Day Shipping,Executive,Yes,Winter,France
14,Female,47,Jeans,Clothing,98,2-Day Shipping,Lawyer,Yes,Winter,France
15,Male,48,Sandals,Footwear,99,2-Day Shipping,Doctor,No,Winter,France
16,Male,60,Blouse,Clothing,65,2-Day Shipping,Healthcare,Yes,Winter,Algeria
17,Female,22,Sneakers,Footwear,35,2-Day Shipping,Homemaker,No,Winter,Algeria
18,Male,21,Shirt,Clothing,85,2-Day Shipping,Healthcare,Yes,Winter,Algeria
19,Male,19,Shorts,Clothing,96,2-Day Shipping,Entertainment,No,,Algeria
20,Female,23,Coat,Outerwear,74,2-Day Shipping,Artist,Yes,Winter,Algeria
21,Male,25,Handbag,Accessories,52,Express,Homemaker,No,Winter,France
