Win_rate,DPS,Assistance,Kills,herois
41.44326531312865,5323,9,7,Gwen
46.99250773583937,2761,10,16,Ornn
54.822255155682996,10812,15,11,Fiora
45.407249241224804,12811,12,19,Nami
55.24782938773823,16439,13,7,Caitlyn
42.54124212901805,7023,13,14,Jax
49.699387573708144,6919,7,14,Sett
48.64688659854718,5003,10,14,Jhin
56.0617838891918,12009,12,13,Camile
56.09088251714479,12616,10,6,Warwick
42.50116987897499,10647,19,14,Veiga
40.027256773907126,8556,17,16,Jinx
51.10137039204677,11128,16,20,Yasuo
58.049807433459435,11756,10,19,Ahri
48.80582028837324,6095,8,19,Garen
44.36140590841257,7942,12,8,Seraphine
41.095900975176725,5277,5,14,Vayne
57.52967873972708,17546,10,5,Darius
40.40419443198529,11713,13,10,Akali
59.684333392689794,19492,8,6,Lux
55.07557144985123,7139,16,8,Lee Sin
54.51427688751407,9444,12,13,Ashe
58.55703623917641,4710,9,7,Zed
50.214677422154,14529,9,7,Malphite
47.79810856469676,6643,19,17,Katarina
49.07932332696494,14969,13,12,Draven
42.849698713881374,1858,5,13,Soraka
45.579789878114134,10641,5,18,Amumu
51.90792120253181,9724,13,16,Fiora
45.911098663735736,13268,12,16,Janna
52.63081160030588,12845,14,12,Twisted Fate
47.26619008803336,1916,17,8,Miss Fortune
58.189465781950645,2541,7,11,Vi
59.48576765048081,16825,5,16,Lulu
46.08696218011847,6736,16,18,Nasus
41.88767951817836,15106,6,12,Braum
43.0048397698863,11720,20,9,Ezreal
56.23755555279159,1216,7,8,Camille
49.70306267987648,19534,15,11,Wukong
59.33487909141228,14994,11,13,Sona
43.037297247959,7279,19,18,Kennen
